School ID,School Name,Network,Governance,School Type,Community Area,Total,PE,PK,K,1,2,3,4,5,6,7,8,9,10,11,12
609794,EDISON,Network 1,District,Traditional,ALBANY PARK,263,0,0,28,28,28,28,31,31,31,30,28,0,0,0,0
610523,EDISON PARK,Network 1,District,Traditional,NORWOOD PARK,413,0,0,30,41,51,62,45,43,52,52,37,0,0,0,0
609903,EDWARDS,Network 8,District,Traditional,ARCHER HEIGHTS,"1,250",56,104,110,100,129,116,120,138,123,125,129,0,0,0,0
609904,ELLINGTON,Network 3,District,Traditional,AUSTIN,435,30,52,41,42,50,39,39,35,43,30,34,0,0,0,0
610592,ENGLEWOOD STEM HS,Network 16,District,Traditional,ENGLEWOOD,778,0,0,0,0,0,0,0,0,0,0,0,138,176,184,280
609907,ERICSON,Network 5,District,Traditional,EAST GARFIELD PARK,367,5,30,32,33,37,39,32,37,40,37,45,0,0,0,0
609908,ESMOND,Network 10,District,Traditional,MORGAN PARK,247,1,14,27,24,28,18,22,19,31,29,34,0,0,0,0
609909,EVERETT,ISP,District,Traditional,MCKINLEY PARK,118,14,16,16,15,11,15,13,18,0,0,0,0,0,0,0
610319,EVERGREEN,Network 8,District,Traditional,MCKINLEY PARK,201,0,0,0,0,0,0,0,0,51,79,71,0,0,0,0
610362,EVERS,Network 11,District,Traditional,WASHINGTON HEIGHTS,212,0,21,21,19,21,20,24,20,21,20,25,0,0,0,0
610057,FAIRFIELD,Network 10,District,Traditional,CHICAGO LAWN,469,1,19,39,50,41,42,47,56,52,61,61,0,0,0,0
609910,FALCONER,Network 3,District,Traditional,BELMONT CRAGIN,884,1,57,109,105,127,105,129,128,123,0,0,0,0,0,0
610055,FARADAY,Network 5,District,Traditional,EAST GARFIELD PARK,160,3,14,17,16,16,19,22,13,13,13,14,0,0,0,0
609912,FARNSWORTH,Network 1,District,Traditional,JEFFERSON PARK,473,18,26,45,45,39,45,45,55,50,54,51,0,0,0,0
609704,FARRAGUT HS,Network 16,District,Traditional,SOUTH LAWNDALE,445,0,0,0,0,0,0,0,0,0,0,0,81,121,142,101
609705,FENGER HS,Network 17,District,Traditional,ROSELAND,230,0,0,0,0,0,0,0,0,0,0,0,42,75,51,62
609917,FERNWOOD,Network 13,District,Traditional,WASHINGTON HEIGHTS,265,2,17,26,32,25,24,25,24,29,32,29,0,0,0,0
609918,FIELD,Network 2,District,Traditional,ROGERS PARK,150,0,0,0,0,0,0,0,44,36,33,37,0,0,0,0
609967,FINKL,Network 7,District,Traditional,LOWER WEST SIDE,208,0,9,12,17,18,19,22,30,18,27,36,0,0,0,0
609919,FISKE,Network 9,District,Traditional,WOODLAWN,338,1,36,25,38,41,31,35,38,37,25,31,0,0,0,0
